temperature,pressure,humidity,wind_direction,wind_speed,weather_condition
276.61,1009.0,86.0,350.0,3.0,rain
274.95,1000.0,86.0,340.0,3.0,rain
274.97,1001.0,93.0,290.0,1.0,rain
274.9,1002.0,86.0,300.0,4.0,rain
274.86,1003.0,86.0,300.0,3.0,rain
276.89,1016.0,86.0,160.0,1.0,rain
276.8,1014.0,86.0,0.0,0.0,rain
295.41,1008.0,39.0,200.0,4.0,rain
291.84,1012.0,46.0,10.0,12.0,rain
289.73,1012.0,93.0,110.0,3.0,rain
281.33,1005.0,87.0,40.0,6.0,rain
281.82,1027.0,66.0,90.0,5.0,rain
284.33,1027.0,62.0,80.0,3.0,rain
286.55,1026.0,62.0,0.0,1.0,rain
287.36,1026.0,51.0,160.0,3.0,rain
288.44,1024.0,72.0,150.0,3.0,rain
289.17,1022.0,77.0,120.0,4.0,rain
289.27,1006.0,88.0,250.0,3.0,rain
284.24,1007.0,82.0,310.0,3.0,rain
282.22,1009.0,71.0,310.0,4.0,rain
280.7,1020.0,57.0,320.0,7.0,rain
284.93,1022.0,87.0,130.0,4.0,rain
285.15,1022.0,93.0,130.0,3.0,rain
286.49,1022.0,100.0,130.0,3.0,rain
286.7,1021.0,87.0,140.0,4.0,rain
286.88,1021.0,93.0,130.0,2.0,rain
285.37,1022.0,93.0,120.0,3.0,rain
284.03,1022.0,87.0,90.0,5.0,rain
289.81,1018.0,87.0,80.0,5.0,rain
289.25,1016.0,93.0,0.0,0.0,rain
290.07,1016.0,88.0,100.0,4.0,rain
291.62,1016.0,73.0,220.0,5.0,rain
292.81,1015.0,68.0,210.0,4.0,rain
291.73,1014.0,68.0,210.0,5.0,rain
287.68,1016.0,82.0,140.0,1.0,rain
286.86,1015.0,87.0,130.0,1.0,rain
286.6,1014.0,93.0,0.0,0.0,rain
286.98,1014.0,93.0,0.0,0.0,rain
290.81,1014.0,82.0,310.0,5.0,rain
289.87,1012.0,88.0,190.0,3.0,rain
289.83,1010.0,88.0,210.0,2.0,rain
289.95,1011.0,88.0,220.0,4.0,rain
293.93,1006.0,69.0,230.0,4.0,rain
290.61,1007.0,82.0,320.0,2.0,rain
290.38,1008.0,88.0,250.0,4.0,rain
288.27,1007.0,82.0,300.0,4.0,rain
293.54,1011.0,52.0,220.0,5.0,rain
289.94,1011.0,77.0,330.0,3.0,rain
293.2,1010.0,77.0,190.0,1.0,rain
288.21,1025.0,77.0,120.0,4.0,rain
287.8,1025.0,87.0,90.0,2.0,rain
287.27,1025.0,93.0,100.0,3.0,rain
289.48,1024.0,93.0,100.0,3.0,rain
294.56,1011.0,88.0,140.0,2.0,rain
291.39,1008.0,88.0,280.0,2.0,rain
290.46,1007.0,93.0,0.0,0.0,rain
285.68,1011.0,82.0,330.0,5.0,rain
284.42,1011.0,71.0,340.0,9.0,rain
283.22,1013.0,76.0,330.0,7.0,rain
283.18,1013.0,81.0,330.0,6.0,rain
283.32,1014.0,76.0,330.0,5.0,rain
289.07,1023.0,77.0,0.0,0.0,rain
289.2,1023.0,82.0,150.0,1.0,rain
289.41,1023.0,88.0,150.0,2.0,rain
289.64,1020.0,88.0,110.0,1.0,rain
294.1,1012.0,83.0,230.0,5.0,rain
293.7,1011.0,88.0,210.0,2.0,rain
294.46,1011.0,83.0,230.0,1.0,rain
296.54,1010.0,78.0,170.0,2.0,rain
296.44,1010.0,83.0,0.0,0.0,rain
286.74,1016.0,83.0,355.0,2.0,rain
288.05,1019.0,50.0,332.0,2.0,rain
289.39,1016.0,60.0,62.0,2.0,rain
290.7,1018.0,48.0,321.0,2.0,rain
293.27,1020.0,35.0,321.0,2.0,rain
294.37,1017.0,45.0,326.0,0.0,rain
295.13,1018.0,45.0,304.0,2.0,rain
296.82,1015.0,43.0,5.0,1.0,rain
297.12,1015.0,33.0,310.0,2.0,rain
296.11,1019.0,30.0,307.0,2.0,rain
292.33,1017.0,46.0,307.0,2.0,rain
283.04,1021.0,89.0,7.0,1.0,rain
290.14,1021.0,54.0,15.0,1.0,rain
297.64,1014.0,24.0,27.0,1.0,rain
298.77,1019.0,35.0,129.0,0.0,rain
295.51,1015.0,54.0,133.0,3.0,rain
295.19,1015.0,91.0,147.0,3.0,rain
294.33,1014.0,72.0,182.0,1.0,rain
293.42,1014.0,79.0,173.0,1.0,rain
290.09,1014.0,98.0,93.0,1.0,rain
289.69,1014.0,98.0,102.0,1.0,rain
288.73,1006.0,95.0,277.0,3.0,rain
288.88,1007.0,97.0,321.0,3.0,rain
289.05,1008.0,99.0,321.0,3.0,rain
289.94,1011.0,94.0,292.0,2.0,rain
